tanggal,arena_id,view,quote,reply,participant,posting,expression,polling,bookmark,survey,quis,score
2017-11-16 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-11-17 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-11-17 12:00:00,17,0,0,0,1,1,0,0,0,0,0,2
2017-11-17 12:00:00,18,0,0,2,3,8,1,0,1,0,0,15
2017-11-17 12:00:00,29,0,0,0,2,2,1,0,0,0,0,5
2017-11-17 12:00:00,45,0,0,0,1,1,0,0,0,0,0,2
2017-11-17 12:00:00,61,0,0,0,1,2,0,0,0,0,0,3
2017-11-17 12:00:00,82,0,2,0,2,13,3,0,2,0,0,22
2017-11-17 18:00:00,82,0,0,0,2,6,1,0,0,0,0,9
2017-11-17 18:00:00,84,0,0,0,1,2,0,0,0,0,0,3
2017-11-17 18:00:00,87,0,2,1,2,11,4,0,0,0,0,20
2017-11-17 18:00:00,88,0,0,0,5,42,3,0,2,0,0,52
2017-11-18 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-11-18 00:00:00,82,0,0,0,1,1,0,0,0,0,0,2
2017-11-18 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-11-18 12:00:00,82,0,0,0,1,1,0,0,0,0,0,2
2017-11-19 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-11-19 00:00:00,82,0,0,0,1,1,0,0,0,0,0,2
2017-11-19 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-11-19 12:00:00,82,0,0,0,1,1,0,0,0,0,0,2
2017-11-20 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-11-20 00:00:00,82,0,0,0,1,1,0,0,0,0,0,2
2017-11-20 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-11-20 12:00:00,82,0,0,0,1,1,0,0,0,0,0,2
2017-11-20 18:00:00,84,0,0,0,1,1,0,0,0,0,0,2
2017-11-21 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-11-21 00:00:00,82,0,0,0,1,1,0,0,0,0,0,2
2017-11-21 00:00:00,84,0,0,0,1,1,0,0,0,0,0,2
2017-11-21 06:00:00,87,0,0,0,1,1,0,0,0,0,0,2
2017-11-21 06:00:00,91,0,0,0,1,2,0,0,0,0,0,3
2017-11-21 12:00:00,29,0,0,0,2,2,1,0,0,0,0,5
2017-11-21 12:00:00,82,0,0,0,1,3,0,0,0,0,0,4
2017-11-21 12:00:00,87,0,0,0,1,3,0,0,0,0,0,4
2017-11-21 12:00:00,96,0,0,0,3,3,1,0,0,0,0,7
2017-11-21 12:00:00,99,0,0,0,1,2,0,0,0,0,0,3
2017-11-21 12:00:00,102,0,0,0,1,2,0,0,0,0,0,3
2017-11-22 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-11-22 00:00:00,82,0,0,0,1,1,0,0,0,0,0,2
2017-11-22 06:00:00,103,0,0,0,1,4,0,0,0,0,0,5
2017-11-22 12:00:00,12,0,0,0,1,1,0,0,0,0,0,2
2017-11-22 12:00:00,29,0,0,0,2,2,0,0,0,0,0,4
2017-11-22 12:00:00,82,0,0,0,1,1,0,0,0,0,0,2
2017-11-22 12:00:00,96,0,0,0,1,1,0,0,0,0,0,2
2017-11-22 12:00:00,105,0,0,0,4,5,0,0,0,0,0,9
2017-11-22 18:00:00,2,0,0,0,1,1,0,0,0,0,0,2
2017-11-22 18:00:00,29,0,0,1,1,1,0,0,0,0,0,3
2017-11-23 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-11-23 00:00:00,82,0,0,0,1,1,0,0,0,0,0,2
2017-11-23 06:00:00,108,0,0,0,1,1,0,0,0,0,0,2
2017-11-23 12:00:00,29,0,0,0,2,2,1,0,0,0,0,5
2017-11-23 12:00:00,82,0,0,0,1,1,0,0,0,0,0,2
2017-11-23 18:00:00,96,0,0,0,1,1,0,0,0,0,0,2
2017-11-24 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-11-24 00:00:00,82,0,0,0,1,1,0,0,0,0,0,2
2017-11-24 06:00:00,108,0,0,0,1,1,0,0,0,0,0,2
2017-11-24 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-11-24 12:00:00,82,0,0,0,2,3,0,0,0,0,0,5
2017-11-24 12:00:00,87,0,1,0,2,3,5,0,0,0,0,11
2017-11-24 12:00:00,96,0,0,0,2,7,0,0,0,0,0,9
2017-11-24 12:00:00,113,0,0,0,2,5,3,0,0,0,0,10
2017-11-24 18:00:00,116,0,0,0,3,4,0,0,0,0,0,7
2017-11-25 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-11-25 00:00:00,82,0,0,0,1,1,0,0,0,0,0,2
2017-11-25 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-11-25 12:00:00,82,0,0,0,1,1,0,0,0,0,0,2
2017-11-26 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-11-26 00:00:00,82,0,0,0,1,1,0,0,0,0,0,2
2017-11-26 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-11-26 12:00:00,82,0,0,0,1,1,0,0,0,0,0,2
2017-11-26 18:00:00,12,0,0,0,1,1,1,0,0,0,0,3
2017-11-26 18:00:00,23,0,0,0,1,1,0,0,0,0,0,2
2017-11-27 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-11-27 00:00:00,82,0,0,0,1,1,0,0,0,0,0,2
2017-11-27 12:00:00,29,0,0,1,3,3,5,0,1,0,0,13
2017-11-27 12:00:00,82,0,0,0,1,1,0,0,0,0,0,2
2017-11-27 18:00:00,84,0,0,0,1,1,0,0,0,0,0,2
2017-11-27 18:00:00,96,0,0,1,6,37,1,0,5,0,0,50
2017-11-27 18:00:00,120,0,1,92,42,560,42,5,0,0,0,742
2017-11-28 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-11-28 00:00:00,82,0,0,0,1,1,0,0,0,0,0,2
2017-11-28 00:00:00,84,0,0,0,1,1,0,0,0,0,0,2
2017-11-28 06:00:00,110,0,0,1,3,6,0,0,0,0,0,10
2017-11-28 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-11-28 12:00:00,82,0,0,0,1,1,0,0,0,0,0,2
